response1_type	response1	response2_type	response2	root	context	Answer.condition	item	workerid	slide_number	category	Answer.time_in_minutes	condition	participant
1	harder	NA	NA	hard	This was a XXX problem. It was definitely YYY than other problems they had encountered.	10	real	0	8	adjective	25.7908666667	training	10cond-trials
1	harder	NA	NA	hard	This was a XXX problem. It was definitely YYY than other problems they had encountered.	12	real	0	8	adjective	21.65155	training	12cond-trials
1	harder	NA	NA	hard	This was a XXX problem. It was definitely YYY than other problems they had encountered.	13	real	0	8	adjective	8.0763	training	13cond-trials
1	harder	NA	NA	hard	This was a XXX problem. It was definitely YYY than other problems they had encountered.	15	real	0	8	adjective	14.1087166667	training	15cond-trials
4	reng	4	renged	reng	Did he think this shirt was too XXX? Maybe it was not XXX enough. They decided that being the person with the YYY shirt at the party was probably not a bad thing. After glancing at them again, the second one seemed YYY than the first, so she chose to wear it.	15	nonce	0	32	adjective	14.1087166667	15	15cond-trials
4	nilt	4	nilt	nilt	This fruit is so XXX. I don't know if you like XXX things. Sam loves them. He always eats the YYY fruit in the bowl. I like it when they're a little YYY than this one, but not too much.	15	nonce	0	35	adjective	14.1087166667	15	15cond-trials
4	mense	4	mensed	mense	It all looked too XXX. There here too many XXX tables. The YYY was one in the corner. It was far YYY than the others.	15	nonce	0	39	adjective	14.1087166667	15	15cond-trials
2	worst	2	worse	slint	I had a XXX day yesterday. It all started with a XXX phone call I got. This might be the YYY day I've ever had. Maybe even YYY than the day we went to the aquarium.	15	nonce	0	42	adjective	14.1087166667	15	15cond-trials
1	harder	NA	NA	hard	This was a XXX problem. It was definitely YYY than other problems they had encountered.	16	real	0	8	adjective	15.8644666667	training	16cond-trials
1	harder	NA	NA	hard	This was a XXX problem. It was definitely YYY than other problems they had encountered.	17	real	0	8	adjective	12.6699666667	training	17cond-trials
1	harder	NA	NA	hard	This was a XXX problem. It was definitely YYY than other problems they had encountered.	18	real	0	8	adjective	23.77995	training	18cond-trials
1	harder	NA	NA	hard	This was a XXX problem. It was definitely YYY than other problems they had encountered.	19	real	0	8	adjective	6.1756166667	training	19cond-trials
1	harder	NA	NA	hard	This was a XXX problem. It was definitely YYY than other problems they had encountered.	1	real	0	8	adjective	16.5602833333	training	1cond-trials
3	more difficutl	NA	NA	hard	This was a XXX problem. It was definitely YYY than other problems they had encountered.	20	real	0	8	adjective	13.0430666667	training	20cond-trials
4	reng	4	reng	reng	It all looked too XXX. There here too many XXX tables. The YYY was one in the corner. It was far YYY than the others.	20	nonce	0	33	adjective	13.0430666667	20	20cond-trials
4	stire	3	more stire	stire	The painting looked XXX. She had worked hard to create such a XXX piece. This was her YYY painting yet. It was YYY than all the previous ones combined.	20	nonce	0	36	adjective	13.0430666667	20	20cond-trials
1	stadest that	3	more stad	stad	I like to watch movies that make me feel XXX. I'm a XXX person afterwards. After I watched this one I felt the YYY I've ever felt. I felt YYY than any other movie had made me feel.	20	nonce	0	38	adjective	13.0430666667	20	20cond-trials
1	harder	NA	NA	hard	This was a XXX problem. It was definitely YYY than other problems they had encountered.	21	real	0	8	adjective	8.8744333333	training	21cond-trials
4	kind	NA	NA	sweet	Such a XXX child! She really is the YYY child I've ever seen.	22	real	0	7	adjective	23.8758833333	training	22cond-trials
2	better	NA	NA	hard	This was a XXX problem. It was definitely YYY than other problems they had encountered.	22	real	0	8	adjective	23.8758833333	training	22cond-trials
3	only	4	tired	stire	The woman became XXX after seeing it. Her friends laughed at how XXX she was. There was no reason for her to be the YYY person in the room. Yet, she seemed YYY than everyone present.	22	nonce	0	11	adjective	23.8758833333	22	22cond-trials
2	juiciest 	2	ripper 	stad	This fruit is so XXX. I don't know if you like XXX things. Sam loves them. He always eats the YYY fruit in the bowl. I like it when they're a little YYY than this one, but not too much.	22	nonce	0	48	adjective	23.8758833333	22	22cond-trials
1	harder	NA	NA	hard	This was a XXX problem. It was definitely YYY than other problems they had encountered.	23	real	0	8	adjective	8.8027833333	training	23cond-trials
1	harder	NA	NA	hard	This was a XXX problem. It was definitely YYY than other problems they had encountered.	24	real	0	8	adjective	19.8663666667	training	24cond-trials
4	bize	4	tasty	bize	My mom's food always tastes XXX. She learnt to cook XXX food from her mom. I think she makes the YYY food in the world. Or at least, YYY food than my dad does.	24	nonce	0	35	adjective	19.8663666667	24	24cond-trials
1	harder	NA	NA	hard	This was a XXX problem. It was definitely YYY than other problems they had encountered.	25	real	0	8	adjective	11.7671666667	training	25cond-trials
3	more difficult	NA	NA	hard	This was a XXX problem. It was definitely YYY than other problems they had encountered.	26	real	0	8	adjective	18.9123833333	training	26cond-trials
3	most fiffin	3	more fiffin	fiffin	Here is a XXX thing. Here are two other things that are XXX. This one is the YYY of them all. It is YYY than the rest.	26	nonce	0	16	adjective	18.9123833333	26	26cond-trials
3	most bize	3	more bize	bize	Did he think this shirt was too XXX? Maybe it was not XXX enough. They decided that being the person with the YYY shirt at the party was probably not a bad thing. After glancing at them again, the second one seemed YYY than the first, so she chose to wear it.	26	nonce	0	18	adjective	18.9123833333	26	26cond-trials
1	harder	NA	NA	hard	This was a XXX problem. It was definitely YYY than other problems they had encountered.	27	real	0	8	adjective	17.4265833333	training	27cond-trials
1	harder	NA	NA	hard	This was a XXX problem. It was definitely YYY than other problems they had encountered.	29	real	0	8	adjective	13.8390333333	training	29cond-trials
1	harder	NA	NA	hard	This was a XXX problem. It was definitely YYY than other problems they had encountered.	2	real	0	8	adjective	14.0199	training	2cond-trials
1	harder	NA	NA	hard	This was a XXX problem. It was definitely YYY than other problems they had encountered.	30	real	0	8	adjective	7.5286666667	training	30cond-trials
1	harder	NA	NA	hard	This was a XXX problem. It was definitely YYY than other problems they had encountered.	3	real	0	8	adjective	7.4312	training	3cond-trials
1	harder	NA	NA	hard	This was a XXX problem. It was definitely YYY than other problems they had encountered.	4	real	0	8	adjective	12.4435333333	training	4cond-trials
3	most affectionate	NA	NA	sweet	Such a XXX child! She really is the YYY child I've ever seen.	5	real	0	7	adjective	24.5318833333	training	5cond-trials
3	more difficult	NA	NA	hard	This was a XXX problem. It was definitely YYY than other problems they had encountered.	5	real	0	8	adjective	24.5318833333	training	5cond-trials
3	best kita	3	better kita 	kita	They described it as a XXX place. I'm so excited to stay at a XXX resort. I hear that the spot we are going to is the YYY one on the whole coast, much YYY than the place they went to.	5	nonce	0	30	adjective	24.5318833333	5	5cond-trials
3	best kern	3	better kern	kern	My mom's food always tastes XXX. She learnt to cook XXX food from her mom. I think she makes the YYY food in the world. Or at least, YYY food than my dad does.	5	nonce	0	34	adjective	24.5318833333	5	5cond-trials
3	most fiffin	3	more fiffin	fiffin	It all looked too XXX. There here too many XXX tables. The YYY was one in the corner. It was far YYY than the others.	5	nonce	0	47	adjective	24.5318833333	5	5cond-trials
1	harder	NA	NA	hard	This was a XXX problem. It was definitely YYY than other problems they had encountered.	6	real	0	8	adjective	11.3199166667	training	6cond-trials
1	sweetest 	NA	NA	sweet	Such a XXX child! She really is the YYY child I've ever seen.	7	real	0	7	adjective	11.6007	training	7cond-trials
1	harder	NA	NA	hard	This was a XXX problem. It was definitely YYY than other problems they had encountered.	7	real	0	8	adjective	11.6007	training	7cond-trials
4	glark	1	glarkier 	glark	This fruit is so XXX. I don't know if you like XXX things. Sam loves them. He always eats the YYY fruit in the bowl. I like it when they're a little YYY than this one, but not too much.	7	nonce	0	11	adjective	11.6007	7	7cond-trials
2	Cutest 	NA	NA	sweet	Such a XXX child! She really is the YYY child I've ever seen.	8	real	0	7	adjective	14.7715833333	training	8cond-trials
2	Tougher 	NA	NA	hard	This was a XXX problem. It was definitely YYY than other problems they had encountered.	8	real	0	8	adjective	14.7715833333	training	8cond-trials
2	Best 	2	Bigger 	nilt	They described it as a XXX place. I'm so excited to stay at a XXX resort. I hear that the spot we are going to is the YYY one on the whole coast, much YYY than the place they went to.	8	nonce	0	13	adjective	14.7715833333	8	8cond-trials
