response1_type	response1	category	condition	irregular	response2_type	prompt	response2	workerid	Answer.condition	slide_number	context	root	item	Answer.time_in_minutes	participant
2	toys	noun	training			This is a bear. They are really enjoyable. This one is one of my sister's [BLANK1].	NA	0	0	4	This is a XXX. They are really enjoyable. This one is one of my sister's YYY.	bear	real	16.4118166667	0cond-trials
1	knitting	verb	training			I would love to learn how to knit. My friend has been [BLANK1] recently and loves it.	NA	0	0	5	I would love to learn how to XXX. My friend has been YYY recently and loves it.	knit	real	16.4118166667	0cond-trials
2	agreed	verb	training			John said he wants to cook. Yesterday, partner [BLANK1] and John decided he wanted to try.	NA	0	0	6	John said he wants to XXX. Yesterday, his partner YYY and John decided he wanted to try.	cook	real	16.4118166667	0cond-trials
2	cutest	adjective	training			Such a sweet child! She really is the [BLANK1] child I've ever seen.	NA	0	0	7	Such a XXX child! She really is the YYY child I've ever seen.	sweet	real	16.4118166667	0cond-trials
1	harder	adjective	training			This was a hard problem. It was definitely [BLANK1] than other problems they had encountered.	NA	0	0	8	This was a XXX problem. It was definitely YYY than other problems they had encountered.	hard	real	16.4118166667	0cond-trials
2	brighter	adjective	0		2	Did he think this shirt was too fiffin? Maybe it was not fiffin enough. After glancing at them again, the second one seemed [BLANK1] than the first. In the end, they decided that being the person with the [BLANK2] shirt at the party was probably not a bad thing.	brightest	0	0	10	Did he think this shirt was too XXX? Maybe it was not XXX enough. After glancing at them again, the second one seemed YYY than the first. In the end, they decided that being the person with the YYY shirt at the party was probably not a bad thing.	fiffin	nonce	16.4118166667	0cond-trials
1	skiing	verb	filler	yes	2	When I was a kid I used to ski. My father taught me to ski. I used to enjoy [BLANK1] very much. But I probably [BLANK2] one too many times.	fell	0	0	11	When I was a kid I used to XXX. My father taught me to XXX. I used to enjoy YYY very much. But I probably YYY one too many times.	ski	real	16.4118166667	0cond-trials
2	relaxed	verb	0	no	2	Why won't John pank? I want him to pank. He's only tolerable when he's [BLANK1]. Like yesterday he [BLANK2], and he was fine.	slept	0	0	12	Why won't John XXX? I want him to XXX. He's only tolerable when he's YYY. Like yesterday he YYY, and he was fine.	pank	nonce	16.4118166667	0cond-trials
2	clues	noun	0			The officer wondered if this snell had been left behind on purpose. [BLANK1] were not known to wander off on their own.	NA	0	0	13	The officer wondered if this XXX had been left behind on purpose. YYY were not known to wander off on their own.	snell	nonce	16.4118166667	0cond-trials
1	farming	verb	filler	no	1	Nobody wants to farm these days. I don't know why people don't farm. This country has a long tradition of [BLANK1]. Years ago everyone [BLANK2] and life was much better.	farmed	0	0	14	Nobody wants to XXX these days. I don't know why people don't XXX. This country has a long tradition of YYY. Years ago everyone YYY and life was much better.	farm	real	16.4118166667	0cond-trials
2	best	adjective	0		2	My mom's food always tastes goke. She learnt to cook goke food from her mom. I think she makes the [BLANK1] food in the world. Or at least, [BLANK2] food than my dad does.	better	0	0	15	My mom's food always tastes XXX. She learnt to cook XXX food from her mom. I think she makes the YYY food in the world. Or at least, YYY food than my dad does.	goke	nonce	16.4118166667	0cond-trials
4	jate	verb	0	no	1	Next week we're going to jate. We've been waiting ages for the chance to jate. We're reading a book about [BLANK1]. My friend [BLANK2] once before, but this will be my first time.	jated	0	0	16	Next week we're going to XXX. We've been waiting ages for the chance to XXX. We're reading a book about YYY. My friend YYY once before, but this will be my first time.	jate	nonce	16.4118166667	0cond-trials
1	cheemest	adjective	0		1	The woman became cheem after seeing it. Her friends laughed at how cheem she was. There was no reason for her to be the [BLANK1] person in the room. Yet, she seemed [BLANK2] than everyone present.	cheemer	0	0	17	The woman became XXX after seeing it. Her friends laughed at how XXX she was. There was no reason for her to be the YYY person in the room. Yet, she seemed YYY than everyone present.	cheem	nonce	16.4118166667	0cond-trials
1	fuppest	adjective	0		1	I had a fupp day yesterday. It all started with a fupp phone call I got. This might be the [BLANK1] day I've ever had. Maybe even [BLANK2] than the day we went to the aquarium.	fupper	0	0	18	I had a XXX day yesterday. It all started with a XXX phone call I got. This might be the YYY day I've ever had. Maybe even YYY than the day we went to the aquarium.	fupp	nonce	16.4118166667	0cond-trials
1	stires	noun	0			Did you give him a stire for his birthday like he asked? I think they are his favorite. He will be asking you for some [BLANK1], I know it.	NA	0	0	19	Did you give him a XXX for his birthday like he asked? I think they are his favorite. He will be asking you for some YYY, I know it.	stire	nonce	16.4118166667	0cond-trials
1	bize	adjective	0		1	This fruit is so bize. I don't know if you like bize things. Sam loves them. He always eats the [BLANK1] fruit in the bowl. I like it when they're a little [BLANK2] than this one, but not too much.	bizer	0	0	20	This fruit is so XXX. I don't know if you like XXX things. Sam loves them. He always eats the YYY fruit in the bowl. I like it when they're a little YYY than this one, but not too much.	bize	nonce	16.4118166667	0cond-trials
1	mensing	verb	0	no	1	I don't want to mense. I try not to mense. I know that [BLANK1] isn't good for you. I know that because I [BLANK2] a lot when I was a teenager.	mensed	0	0	21	I don't want to XXX. I try not to XXX. I know that YYY isn't good for you. I know that because I YYY a lot when I was a teenager.	mense	nonce	16.4118166667	0cond-trials
1	leaming	verb	0	no	1	Fred couldn't leam. All he wanted was to leam. Finally, he succeeded in [BLANK1]. After he [BLANK2] his mind was at ease.	leamed	0	0	22	Fred couldn't XXX. All he wanted was to XXX. Finally, he succeeded in YYY. After he YYY his mind was at ease.	leam	nonce	16.4118166667	0cond-trials
1	jogging	verb	filler	no	1	Everyone wants to jog. Magazines are telling me to jog. It seems like [BLANK1] is cool. But I [BLANK2] last week, and I don't see what all the fuss is about.	jogged	0	0	23	Everyone wants to XXX. Magazines are telling me to XXX. It seems like YYY is cool. But I YYY last week, and I don't see what all the fuss is about.	jog	real	16.4118166667	0cond-trials
1	tattoos	noun	filler			It is hard to believe that having a tattoo is fine now. This would have been unacceptable in our day. We were always taught that [BLANK1] were bad.	NA	0	0	24	It is hard to believe that having a XXX is fine now. This would have been unacceptable in our day. We were always taught that YYY were bad.	tattoo	real	16.4118166667	0cond-trials
1	nilting	verb	0	no	1	You should nilt. It's always worthwhile to nilt. I'm [BLANK1], and you should too. Last week you [BLANK2], why won't you now?	nilted	0	0	25	You should XXX. It's always worthwhile to XXX. I'm YYY, and you should too. Last week you YYY, why won't you now?	nilt	nonce	16.4118166667	0cond-trials
1	tightest	adjective	filler		1	Why are tight pants popular? Most find tight pants uncomfortable. For some reason though, people still try to wear the [BLANK1] ones they can find, always looking for a [BLANK2] pair than the last.	tighter	0	0	26	Why are XXX pants popular? Most find XXX pants uncomfortable. For some reason though, people still try to wear the YYY ones they can find, always looking for a YYY pair than the last.	tight	real	16.4118166667	0cond-trials
1	glarker	adjective	0		1	They described it as a glark place. I'm so excited to stay at a glark resort. I hear that the spot we are going to is [BLANK1] than the one they went to. In fact, I hear it is the [BLANK2] resort on the whole coast.	glarkest	0	0	27	They described it as a XXX place. I'm so excited to stay at a XXX resort. I hear that the spot we are going to is YYY than the one they went to. In fact, I hear it is the YYY resort on the whole coast.	glark	nonce	16.4118166667	0cond-trials
1	cakes	noun	filler			Did they ask about the cake? I think we need to let them know by tomorrow. I hear [BLANK1] are in scarce quantity at the store.	NA	0	0	28	Did they ask about the XXX? I think we need to let them know by tomorrow. I hear YYY are in scarce quantity at the store.	cake	real	16.4118166667	0cond-trials
1	coodlest	adjective	0		1	I like to watch movies that make me feel coodle. I'm a coodle person afterwards. After I watched this one I felt the [BLANK1] I've ever felt. I felt [BLANK2] than any other movie had made me feel.	coodler	0	0	29	I like to watch movies that make me feel XXX. I'm a XXX person afterwards. After I watched this one I felt the YYY I've ever felt. I felt YYY than any other movie had made me feel.	coodle	nonce	16.4118166667	0cond-trials
1	teshes	noun	0			The tesh was on the counter this morning. Dad doesn't know where it went. We can buy a few more [BLANK1] at the store later though.	NA	0	0	30	The XXX was on the counter this morning. Dad doesn't know where it went. We can buy a few more YYY at the store later though.	tesh	nonce	16.4118166667	0cond-trials
1	tulvers	noun	0			Have you ever heard of a tulver? It grows in South America. There are [BLANK1] on the menu tonight for dinner.	NA	0	0	31	Have you ever heard of a XXX? It grows in South America. There are YYY on the menu tonight for dinner.	tulver	nonce	16.4118166667	0cond-trials
1	heaching	verb	0	yes	1	Nick tries to heach every day. He gets off work early so he can heach. He says that [BLANK1] holds his life together. But I [BLANK2] once, and it was nothing special.	haught	0	0	32	Nick tries to XXX every day. He gets off work early so he can XXX. He says that YYY holds his life together. But I YYY once, and it was nothing special.	heach	nonce	16.4118166667	0cond-trials
1	teeps	noun	0			There was a group of kids playing with a teep down the street. Did you see it? I think it might be one of Terry's [BLANK1].	NA	0	0	33	There was a group of kids playing with a XXX down the street. Did you see it? I think it might be one of Terry's YYY.	teep	nonce	16.4118166667	0cond-trials
1	kiting	verb	0	no		It's difficult to kita. I've always found it hard to kita. Some people say [BLANK1] is easy. But I [BLANK2] last week and I can tell you it's not easy.	kited	0	0	34	It's difficult to XXX. I've always found it hard to XXX. Some people say YYY is easy. But I YYY last week and I can tell you it's not easy.	kita	nonce	16.4118166667	0cond-trials
4	reng	noun	0			There was no doubt in my mind that a great reng like this one was John's. I had seen a set of [BLANK1] in his yard last summer and this had to be one of them.	NA	0	0	35	There was no doubt in my mind that a great XXX like this one was John's. I had seen a set of YYY in his yard last summer and this had to be one of them.	reng	nonce	16.4118166667	0cond-trials
1	dandest	adjective	0		1	The painting looked dand. She had worked hard to create such a dand piece. This was her [BLANK1] painting yet. It was [BLANK2] than all the previous ones combined.	dander	0	0	36	The painting looked XXX. She had worked hard to create such a XXX piece. This was her YYY painting yet. It was YYY than all the previous ones combined.	dand	nonce	16.4118166667	0cond-trials
1	roaking	verb	0	no	1	I dream that one day I'll be able to roak. The chance to roak would be very exciting. I think I'd really enjoy [BLANK1]. My friend Sam [BLANK2] once and he loved it.	roaked	0	0	37	I dream that one day I'll be able to XXX. The chance to XXX would be very exciting. I think I'd really enjoy YYY. My friend Sam YYY once and he loved it.	roak	nonce	16.4118166667	0cond-trials
1	pets	noun	filler			I would like to have a pet. They are great companions. I am envious of people who are fortunate enough to have more than one. If I could have many [BLANK1], I would.	NA	0	0	38	I would like to have a XXX. They are great companions. I am envious of people who are fortunate enough to have more than one. If I could have many YYY, I would.	pet	real	16.4118166667	0cond-trials
1	softest	adjective	filler		1	Soft things are nice. Some people disagree, but quite a few think soft things are great. Well, at least everyone can agree that the [BLANK1] one of all is nice. Nothing is [BLANK2] than this one.	softer	0	0	39	XXX things are nice. Some people disagree, but quite a few think XXX things are great. Well, at least everyone can agree that the YYY one of all is nice. Nothing is YYY than this one.	soft	real	16.4118166667	0cond-trials
4	wolp	noun	0			My favorite animal is the wolp. They are impressive creatures. I saw a group of [BLANK1] during our trip last summer and I was so excited.	NA	0	0	40	My favorite animal is the XXX. They are impressive creatures. I saw a group of YYY during our trip last summer and I was so excited.	wolp	nonce	16.4118166667	0cond-trials
1	kerning	verb	0	no	1	Jane refuses to kern. She's too frightened to kern. I don't know why she's so scared of [BLANK1]. Everyone else [BLANK2] last year.	kerned	0	0	41	Jane refuses to XXX. She's too frightened to XXX. I don't know why she's so scared of YYY. Everyone else YYY last year.	kern	nonce	16.4118166667	0cond-trials
1	stads	noun	0			The camera followed the stad for some time. It was on its way to meet other [BLANK1] near the beach.	NA	0	0	42	The camera followed the XXX for some time. It was on its way to meet other YYY near the beach.	stad	nonce	16.4118166667	0cond-trials
1	painting	verb	filler		1	Jim loves to paint all the time. It seems he was born to paint. [BLANK1] is what he's good at. Last week he [BLANK2] six days out of seven.	painted	0	0	43	Jim loves to XXX all the time. It seems he was born to XXX. YYY is what he's good at. Last week he YYY six days out of seven.	paint	real	16.4118166667	0cond-trials
1	slints	noun	0			Sam had left the building without her slint. She told herself that there would be plenty of people with [BLANK1] that worked when she got there.	NA	0	0	44	Sam had left the building without her XXX. She told herself that there would be plenty of people with YYY that worked when she got there.	slint	nonce	16.4118166667	0cond-trials
