"response2"	"Answer.condition"	"root"	"item"	"context"	"workerid"	"response1"	"slide_number"	"category"	"Answer.time_in_minutes"	"condition"	"participant"
NA	10	"bear"	"real"	"This is a XXX. They are really enjoyable. This one is one of my sister's YYY."	0	"bears"	4	"noun"	25.7908666666667	"training"	"10cond-trials"
NA	10	"knit"	"real"	"I would love to learn how to XXX. My friend has been YYY recently and loves it."	0	"knitting"	5	"verb"	25.7908666666667	"training"	"10cond-trials"
NA	10	"cook"	"real"	"John said he wants to XXX. His partner YYY yesterday, and now John has decided he wants to try."	0	"cooked"	6	"verb"	25.7908666666667	"training"	"10cond-trials"
NA	10	"sweet"	"real"	"Such a XXX child! She really is the YYY child I've ever seen."	0	"sweetest"	7	"adjective"	25.7908666666667	"training"	"10cond-trials"
NA	10	"hard"	"real"	"This was a XXX problem. It was definitely YYY than other problems they had encountered."	0	"harder"	8	"adjective"	25.7908666666667	"training"	"10cond-trials"
"cook"	10	"reng"	"nonce"	"Nick tries to XXX every day. He gets off work early so he can XXX. He says that YYY holds his life together. But I YYY once, and it was nothing special."	0	"cooking"	10	"verb"	25.7908666666667	"10"	"10cond-trials"
"better"	10	"leam"	"nonce"	"The painting looked XXX. She had worked hard to create such a XXX piece. This was her YYY painting yet. It was YYY than all the previous ones combined."	0	"best"	11	"adjective"	25.7908666666667	"10"	"10cond-trials"
"swam"	10	"zorch"	"nonce"	"I dream that one day I'll be able to XXX. The chance to XXX would be very exciting. I think I'd really enjoy YYY. My friend Sam YYY once and he loved it."	0	"swimming"	12	"verb"	25.7908666666667	"10"	"10cond-trials"
"taller"	10	"tall"	"real"	"I met a XXX person today. I don't think I've ever met anyone so XXX. They were definitely the YYY person I've met. They were even YYY than you."	0	"tallest"	13	"adjective"	25.7908666666667	"filler"	"10cond-trials"
"better"	10	"mense"	"nonce"	"Did he think this shirt was too XXX? Maybe it was not XXX enough. They decided that being the person with the YYY shirt at the party was probably not a bad thing. After glancing at them again, the second one seemed YYY than the first, so she chose to wear it."	0	"best"	14	"adjective"	25.7908666666667	"10"	"10cond-trials"
NA	10	"goke"	"nonce"	"Have you ever heard of a XXX? It grows in South America. There are YYY on the menu tonight for dinner."	0	"eggs"	15	"noun"	25.7908666666667	"10"	"10cond-trials"
NA	10	"pet"	"real"	"I would like to have a XXX. They are great companions. I am envious of people who are fortunate enough to have more than one. If I could have many YYY, I would."	0	"dogs"	16	"noun"	25.7908666666667	"filler"	"10cond-trials"
"washed"	10	"tesh"	"nonce"	"You should XXX. It's always worthwhile to XXX. I'm YYY, and you should too. Last week you YYY, why won't you now?"	0	"washing"	17	"verb"	25.7908666666667	"10"	"10cond-trials"
NA	10	"bink"	"nonce"	"There was no doubt in my mind that a great XXX like this one was John's. I had seen a set of YYY in his yard last summer and this had to be one of them."	0	"flowers"	18	"noun"	25.7908666666667	"10"	"10cond-trials"
NA	10	"dand"	"nonce"	"Did you give him a XXX for his birthday like he asked? I think they are his favorite. He will be asking you for some YYY, I know it."	0	"cake"	19	"noun"	25.7908666666667	"10"	"10cond-trials"
NA	10	"bize"	"nonce"	"Sam had left the building without her XXX. She told herself that there would be plenty of people with YYY that worked when she got there."	0	"notebooks"	20	"noun"	25.7908666666667	"10"	"10cond-trials"
NA	10	"tattoo"	"real"	"It is hard to believe that having a XXX is fine now. This would have been unacceptable in our day. We were always taught that YYY were bad."	0	"tattoos"	21	"noun"	25.7908666666667	"filler"	"10cond-trials"
"prettier"	10	"roak"	"nonce"	"Here is a XXX thing. Here are two other things that are XXX. This one is the YYY of them all. It is YYY than the rest."	0	"prettiest"	22	"adjective"	25.7908666666667	"10"	"10cond-trials"
"better"	10	"nilt"	"nonce"	"I had a XXX day yesterday. It all started with a XXX phone call I got. This might be the YYY day I've ever had. Maybe even YYY than the day we went to the aquarium."	0	"best"	23	"adjective"	25.7908666666667	"10"	"10cond-trials"
"laughed"	10	"tulver"	"nonce"	"Why won't John XXX? I want him to XXX. He's only tolerable when he's YYY. Like yesterday he YYY, and he was fine."	0	"laughing"	24	"verb"	25.7908666666667	"10"	"10cond-trials"
NA	10	"cake"	"real"	"Did they ask about the XXX? I think we need to let them know by tomorrow. I hear YYY are in scarce quantity at the store."	0	"cakes"	25	"noun"	25.7908666666667	"filler"	"10cond-trials"
NA	10	"cheem"	"nonce"	"The officer wondered if this XXX had been left behind on purpose. YYY were not known to wander off on their own."	0	"Kids"	26	"noun"	25.7908666666667	"10"	"10cond-trials"
"talked"	10	"snell"	"nonce"	"Jane refuses to XXX. She's too frightened to XXX. I don't know why she's so scared of YYY. Everyone else YYY last year."	0	"talk"	27	"verb"	25.7908666666667	"10"	"10cond-trials"
"softer"	10	"soft"	"real"	"XXX things are nice. Some people disagree, but quite a few think XXX things are great. Well, at least everyone can agree that the YYY one of all is really nice. Nothing is YYY than that one."	0	"softest"	28	"adjective"	25.7908666666667	"filler"	"10cond-trials"
"skied "	10	"ski"	"real"	"When I was a kid I used to XXX. My father taught me to XXX. I used to enjoy YYY very much. But I probably YYY one too many times."	0	"ski"	29	"verb"	25.7908666666667	"filler"	"10cond-trials"
"smoked"	10	"wolp"	"nonce"	"Every day I like to XXX. I usually XXX first thing in the morning. After I'm finished YYY, I'm ready to start the day. This morning I YYY as usual."	0	"smoking"	30	"verb"	25.7908666666667	"10"	"10cond-trials"
NA	10	"coodle"	"nonce"	"The camera followed the XXX for some time. It was on its way to meet other YYY near the beach."	0	"people"	31	"noun"	25.7908666666667	"10"	"10cond-trials"
NA	10	"glip"	"nonce"	"This is a XXX. Now there is another one. There are two of them. There are two YYY."	0	"cameras"	32	"noun"	25.7908666666667	"10"	"10cond-trials"
"slept"	10	"stire"	"nonce"	"Fred couldn't XXX. All he wanted was to XXX. Finally, he succeeded in YYY. After he YYY his mind was at ease."	0	"sleeping"	33	"verb"	25.7908666666667	"10"	"10cond-trials"
NA	10	"fiffin"	"nonce"	"There was a group of kids playing with a XXX down the street. Did you see it? I think it might be one of Terry's YYY."	0	"balls"	34	"noun"	25.7908666666667	"10"	"10cond-trials"
"jogged \"	10	"jog"	"real"	"Everyone wants to XXX. Magazines are telling me to XXX. It seems like YYY is cool. But I YYY last week, and I don't see what all the fuss is about."	0	"jogging"	35	"verb"	25.7908666666667	"filler"	"10cond-trials"
NA	10	"glark"	"nonce"	"My favorite animal is the XXX. They are impressive creatures. I saw a group of YYY during our trip last summer and I was so excited."	0	"ducks"	36	"noun"	25.7908666666667	"10"	"10cond-trials"
"meaner"	10	"kern"	"nonce"	"The woman became XXX after seeing it. Her friends laughed at how XXX she was. There was no reason for her to be the YYY person in the room. Yet, she seemed YYY than everyone present."	0	"meanest"	37	"adjective"	25.7908666666667	"10"	"10cond-trials"
"painted"	10	"paint"	"real"	"Jim loves to XXX all the time. It seems he was born to XXX. YYY is what he's good at. Last week he YYY six days out of seven."	0	"Painting"	38	"verb"	25.7908666666667	"filler"	"10cond-trials"
"rounder"	10	"heach"	"nonce"	"It all looked too XXX. There here too many XXX tables. The YYY was one in the corner. It was far YYY than the others."	0	"round"	39	"adjective"	25.7908666666667	"10"	"10cond-trials"
"ran"	10	"stad"	"nonce"	"It's difficult to XXX. I've always found it hard to XXX. Some people say YYY is easy. But I YYY last week and I can tell you it's not easy."	0	"running"	40	"verb"	25.7908666666667	"10"	"10cond-trials"
"farmed"	10	"farm"	"real"	"Nobody wants to XXX these days. I don't know why people don't XXX. This country has a long tradition of YYY. Years ago everyone YYY and life was much better."	0	"farming"	41	"verb"	25.7908666666667	"filler"	"10cond-trials"
"drank"	10	"teep"	"nonce"	"I don't want to XXX. I try not to XXX. I know that YYY isn't good for you. I know that because I YYY a lot when I was a teenager."	0	"drinking"	42	"verb"	25.7908666666667	"10"	"10cond-trials"
NA	10	"fupp"	"nonce"	"The XXX was on the counter this morning. Dad doesn't know where it went. We can buy a few more YYY at the store later though."	0	"cups"	43	"noun"	25.7908666666667	"10"	"10cond-trials"
"tighter"	10	"tight"	"real"	"Why are XXX pants popular? Most find XXX pants uncomfortable. For some reason though, people still try to wear the YYY ones they can find, always looking for a YYY pair than the last."	0	"tight"	44	"adjective"	25.7908666666667	"filler"	"10cond-trials"
"better"	10	"pank"	"nonce"	"My mom's food always tastes XXX. She learnt to cook XXX food from her mom. I think she makes the YYY food in the world. Or at least, YYY food than my dad does."	0	"best"	45	"adjective"	25.7908666666667	"10"	"10cond-trials"
"skied"	10	"slint"	"nonce"	"Next week we're going to XXX. We've been waiting ages for the chance to XXX. We're reading a book about YYY. My friend YYY once before, but this will be my first time."	0	"skiing"	46	"verb"	25.7908666666667	"10"	"10cond-trials"
"redder"	10	"jate"	"nonce"	"This fruit is so XXX. I don't know if you like XXX things. Sam loves them. He always eats the YYY fruit in the bowl. I like it when they're a little YYY than this one, but not too much."	0	"red"	47	"adjective"	25.7908666666667	"10"	"10cond-trials"
"pricer"	10	"pizer"	"nonce"	"They described it as a XXX place. I'm so excited to stay at a XXX resort. I hear that the spot we are going to is the YYY one on the whole coast, much YYY than the place they went to."	0	"pricer"	48	"adjective"	25.7908666666667	"10"	"10cond-trials"
"happier"	10	"kita"	"nonce"	"I like to watch movies that make me feel XXX. I'm a XXX person afterwards. After I watched this one I felt the YYY I've ever felt. I felt YYY than any other movie had made me feel."	0	"happier"	49	"adjective"	25.7908666666667	"10"	"10cond-trials"
NA	12	"bear"	"real"	"This is a XXX. They are really enjoyable. This one is one of my sister's YYY."	0	"dolls"	4	"noun"	21.65155	"training"	"12cond-trials"
NA	12	"knit"	"real"	"I would love to learn how to XXX. My friend has been YYY recently and loves it."	0	"sewing"	5	"verb"	21.65155	"training"	"12cond-trials"
NA	12	"cook"	"real"	"John said he wants to XXX. His partner YYY yesterday, and now John has decided he wants to try."	0	"cooked"	6	"verb"	21.65155	"training"	"12cond-trials"
NA	12	"sweet"	"real"	"Such a XXX child! She really is the YYY child I've ever seen."	0	"sweetest"	7	"adjective"	21.65155	"training"	"12cond-trials"
NA	12	"hard"	"real"	"This was a XXX problem. It was definitely YYY than other problems they had encountered."	0	"harder"	8	"adjective"	21.65155	"training"	"12cond-trials"
"stadded"	12	"stad"	"nonce"	"Next week we're going to XXX. We've been waiting ages for the chance to XXX. We're reading a book about YYY. My friend YYY once before, but this will be my first time."	0	"stad"	10	"verb"	21.65155	"12"	"12cond-trials"
"tighter"	12	"tight"	"real"	"Why are XXX pants popular? Most find XXX pants uncomfortable. For some reason though, people still try to wear the YYY ones they can find, always looking for a YYY pair than the last."	0	"tightest"	11	"adjective"	21.65155	"filler"	"12cond-trials"
NA	12	"fiffin"	"nonce"	"The camera followed the XXX for some time. It was on its way to meet other YYY near the beach."	0	"fiffins"	12	"noun"	21.65155	"12"	"12cond-trials"
"snelled"	12	"snell"	"nonce"	"Nick tries to XXX every day. He gets off work early so he can XXX. He says that YYY holds his life together. But I YYY once, and it was nothing special."	0	"snelling"	13	"verb"	21.65155	"12"	"12cond-trials"
"kernier"	12	"kern"	"nonce"	"It all looked too XXX. There here too many XXX tables. The YYY was one in the corner. It was far YYY than the others."	0	"kerniest"	14	"adjective"	21.65155	"12"	"12cond-trials"
NA	12	"fupp"	"nonce"	"Did you give him a XXX for his birthday like he asked? I think they are his favorite. He will be asking you for some YYY, I know it."	0	"fupps"	15	"noun"	21.65155	"12"	"12cond-trials"
"pizerer"	12	"pizer"	"nonce"	"I had a XXX day yesterday. It all started with a XXX phone call I got. This might be the YYY day I've ever had. Maybe even YYY than the day we went to the aquarium."	0	"piziest"	16	"adjective"	21.65155	"12"	"12cond-trials"
"nilter"	12	"nilt"	"nonce"	"The painting looked XXX. She had worked hard to create such a XXX piece. This was her YYY painting yet. It was YYY than all the previous ones combined."	0	"niltest"	17	"adjective"	21.65155	"12"	"12cond-trials"
NA	12	"goke"	"nonce"	"There was a group of kids playing with a XXX down the street. Did you see it? I think it might be one of Terry's YYY."	0	"gokes"	18	"noun"	21.65155	"12"	"12cond-trials"
"taller"	12	"tall"	"real"	"I met a XXX person today. I don't think I've ever met anyone so XXX. They were definitely the YYY person I've met. They were even YYY than you."	0	"tallest"	19	"adjective"	21.65155	"filler"	"12cond-trials"
"kitier"	12	"kita"	"nonce"	"This fruit is so XXX. I don't know if you like XXX things. Sam loves them. He always eats the YYY fruit in the bowl. I like it when they're a little YYY than this one, but not too much."	0	"kitiest"	20	"adjective"	21.65155	"12"	"12cond-trials"
"softer"	12	"soft"	"real"	"XXX things are nice. Some people disagree, but quite a few think XXX things are great. Well, at least everyone can agree that the YYY one of all is really nice. Nothing is YYY than that one."	0	"softest"	21	"adjective"	21.65155	"filler"	"12cond-trials"
"wolped"	12	"wolp"	"nonce"	"You should XXX. It's always worthwhile to XXX. I'm YYY, and you should too. Last week you YYY, why won't you now?"	0	"wolping"	22	"verb"	21.65155	"12"	"12cond-trials"
NA	12	"jate"	"nonce"	"This is a XXX. Now there is another one. There are two of them. There are two YYY."	0	"jates"	23	"noun"	21.65155	"12"	"12cond-trials"
"painted"	12	"paint"	"real"	"Jim loves to XXX all the time. It seems he was born to XXX. YYY is what he's good at. Last week he YYY six days out of seven."	0	"Painting"	24	"verb"	21.65155	"filler"	"12cond-trials"
NA	12	"heach"	"nonce"	"My favorite animal is the XXX. They are impressive creatures. I saw a group of YYY during our trip last summer and I was so excited."	0	"heaches"	25	"noun"	21.65155	"12"	"12cond-trials"
"menser"	12	"mense"	"nonce"	"I like to watch movies that make me feel XXX. I'm a XXX person afterwards. After I watched this one I felt the YYY I've ever felt. I felt YYY than any other movie had made me feel."	0	"mensest"	26	"adjective"	21.65155	"12"	"12cond-trials"
"farmed"	12	"farm"	"real"	"Nobody wants to XXX these days. I don't know why people don't XXX. This country has a long tradition of YYY. Years ago everyone YYY and life was much better."	0	"farming"	27	"verb"	21.65155	"filler"	"12cond-trials"
"leamer"	12	"leam"	"nonce"	"The woman became XXX after seeing it. Her friends laughed at how XXX she was. There was no reason for her to be the YYY person in the room. Yet, she seemed YYY than everyone present."	0	"leamest"	28	"adjective"	21.65155	"12"	"12cond-trials"
"bized"	12	"bize"	"nonce"	"I dream that one day I'll be able to XXX. The chance to XXX would be very exciting. I think I'd really enjoy YYY. My friend Sam YYY once and he loved it."	0	"bizing"	29	"verb"	21.65155	"12"	"12cond-trials"
NA	12	"tattoo"	"real"	"It is hard to believe that having a XXX is fine now. This would have been unacceptable in our day. We were always taught that YYY were bad."	0	"tattoos"	30	"noun"	21.65155	"filler"	"12cond-trials"
"panker"	12	"pank"	"nonce"	"Did he think this shirt was too XXX? Maybe it was not XXX enough. They decided that being the person with the YYY shirt at the party was probably not a bad thing. After glancing at them again, the second one seemed YYY than the first, so she chose to wear it."	0	"pankest"	31	"adjective"	21.65155	"12"	"12cond-trials"
"teshed"	12	"tesh"	"nonce"	"Fred couldn't XXX. All he wanted was to XXX. Finally, he succeeded in YYY. After he YYY his mind was at ease."	0	"teshing"	32	"verb"	21.65155	"12"	"12cond-trials"
"skied"	12	"ski"	"real"	"When I was a kid I used to XXX. My father taught me to XXX. I used to enjoy YYY very much. But I probably YYY one too many times."	0	"skiing"	33	"verb"	21.65155	"filler"	"12cond-trials"
NA	12	"dand"	"nonce"	"The officer wondered if this XXX had been left behind on purpose. YYY were not known to wander off on their own."	0	"Dands"	34	"noun"	21.65155	"12"	"12cond-trials"
"renger"	12	"reng"	"nonce"	"They described it as a XXX place. I'm so excited to stay at a XXX resort. I hear that the spot we are going to is the YYY one on the whole coast, much YYY than the place they went to."	0	"rengest"	35	"adjective"	21.65155	"12"	"12cond-trials"
"zorched"	12	"zorch"	"nonce"	"Why won't John XXX? I want him to XXX. He's only tolerable when he's YYY. Like yesterday he YYY, and he was fine."	0	"zorching"	36	"verb"	21.65155	"12"	"12cond-trials"
NA	12	"glip"	"nonce"	"Have you ever heard of a XXX? It grows in South America. There are YYY on the menu tonight for dinner."	0	"glips"	37	"noun"	21.65155	"12"	"12cond-trials"
NA	12	"cake"	"real"	"Did they ask about the XXX? I think we need to let them know by tomorrow. I hear YYY are in scarce quantity at the store."	0	"cakes"	38	"noun"	21.65155	"filler"	"12cond-trials"
